id,Latitude,Longitude,fast,slow
168,37.4998961999999,126.884113,0,2
504,37.4996894,126.8947038,1,0
219,37.6363492,127.0613398,1,4
345,37.5047903,127.0186205,1,0
267,37.5829867,127.0707472,1,4
605,37.5952996,127.0781069,2,0
439,37.4906212,127.1302937,1,3
263,37.580676,127.0476654,2,0
280,37.4994952,126.9431462,1,1
317,37.5511712,126.9309007,1,0
182,37.4685224,126.8845841,1,0
95,37.6263818,127.0375186,1,0
333,37.4584613,127.023655,0,2
297,37.5555928,126.9536568,1,4
484,37.5317249,126.8295917,0,3
331,37.5852091,126.947365,0,2
449,37.4763729,127.1433418,0,2
480,37.5321802,126.8768182,1,2
586,37.5522341,127.0133311,2,0
400,37.5887496,127.0323735,2,0
521,37.50492,126.9081665,1,3
213,37.6389443,127.0647295,2,0
458,37.5310247,127.1185335,0,1
194,37.6185315,127.0762191,0,2
174,37.4803587,126.8381965,1,2
259,37.590199,127.0663516,1,0
320,37.5791313,126.9206681,0,6
243,37.6610333,127.0460895,1,2
262,37.5766417,127.060466,2,0
362,37.4924912,127.0182638,0,2
541,37.5367051,126.9695385,0,1
601,37.6171896,127.1064524,1,2
452,37.4800704,127.1299069,1,2
109,37.563921,126.8197729,0,3
64,37.5676186,127.1781885,1,3
138,37.5356993,127.095765,5,1
111,37.5653061,126.8207668,1,4
166,37.5009135,126.8651312,1,2
383,37.567708,127.0340591,1,7
303,37.5521763,126.9555087,0,2
4,37.5175686,127.0474869,1,0
315,37.5371298,126.9438418,1,0
328,37.5615201,126.929515,0,3
571,37.5528698,127.0001308,3,0
395,37.568436,127.0247973,1,4
216,37.6524182,127.07303,0,2
141,37.5300164,127.0897927,0,1
289,37.5616893,126.9237152,0,1
567,37.5803228,127.0117854,1,1
422,37.6009873,127.0301555,1,0
144,37.531692,127.074516,1,4
195,37.6211782,127.072247,0,2
192,37.6539176,127.0556668,1,4
502,37.5055322,126.8956135,1,4
462,37.4808631,127.1407395,1,0
363,37.4968628,127.0196736,0,2
314,37.5562254,126.9422693,1,1
497,37.5275442,126.9302837,2,8
140,37.5384193,127.0824491,1,0
488,37.5118663,126.8391189,0,1
